age,rq1,rq2,rq3,st_5
19,7,9,4,8
57,6,5,5,8
19,2,2,3,11
51,1,2,3,11
17,6,6,7,10
28,6,6,8,9
19,10,10,10,9
47,2,1,2,8
24,5,5,7,10
40,1,8,3,14
43,8,8,5,8
13,4,4,6,11
27,1,2,5,13
53,7,7,9,8
23,1,1,5,13
15,4,4,2,13
18,7,10,9,9
16,3,3,3,13
28,4,2,7,11
16,8,8,6,9
23,1,3,2,13
25,10,5,5,12
45,6,4,7,13
14,5,5,2,10
28,3,3,3,8
25,1,1,5,8
44,5,5,5,10
20,9,9,5,11
19,4,1,2,14
24,4,4,4,9
19,2,4,7,10
35,8,8,9,8
33,6,3,10,10
45,8,8,8,8
21,5,5,10,10
51,1,1,1,12
25,3,4,2,12
17,10,10,10,8
21,7,7,5,10
51,10,1,6,10
64,5,5,5,8
31,7,1,7,11
85,8,9,8,8
33,2,5,4,14
36,5,5,5,10
22,7,5,5,8
24,1,1,1,11
30,3,5,4,10
28,6,3,7,11
19,2,9,2,9
16,5,5,5,8
18,1,1,2,9
26,4,4,6,11
27,5,5,5,12
28,8,1,9,8
22,1,1,7,11
25,8,8,8,10
23,6,6,8,8
19,9,9,8,9
25,5,5,5,12
21,4,3,5,10
39,6,6,8,12
17,7,4,7,11
28,5,8,5,10
28,6,6,6,8
22,3,7,5,9
24,7,7,7,9
20,1,2,1,13
16,4,9,8,8
18,4,2,5,11
26,4,4,6,8
21,6,4,2,9
41,3,2,3,9
24,6,3,5,11
13,5,5,6,9
25,6,5,7,8
55,8,8,5,8
19,5,5,5,10
33,5,5,3,12
22,2,2,4,13
41,9,7,8,8
53,3,3,4,12
20,8,8,7,10
30,7,7,7,10
25,7,10,8,8
24,3,1,4,14
36,1,1,1,13
19,6,6,6,10
45,2,8,5,12
54,8,6,6,10
17,7,4,7,9
54,6,6,6,8
15,3,4,2,11
32,4,1,7,8
23,9,10,10,8
24,3,1,10,13
16,3,3,6,9
69,6,8,7,8
25,3,2,2,11
31,8,8,9,9
18,3,7,3,11
24,7,5,9,11
38,10,1,1,12
20,8,8,3,8
27,3,5,10,13
33,0,0,0,13
39,7,3,5,11
30,3,3,5,14
27,2,7,6,12
37,10,10,10,14
20,5,6,8,8
22,3,4,9,11
28,10,1,10,12
23,7,7,9,9
24,6,5,2,8
4,9,9,9,15
30,2,1,3,11
46,5,5,5,15
18,8,8,9,10
33,1,2,1,15
26,8,8,8,8
14,1,1,7,9
24,2,1,1,11
30,2,2,2,15
25,3,1,3,15
43,7,7,7,11
